Region,Date,Cases
JAWA TIMUR,May-09,"1,596"
KALIMANTAN BARAT,May-09,351
KALIMANTAN SELATA,May-09,51
KALIMANTAN TENGAH,May-09,64
KALIMANTAN TIMUR,May-09,437
KEPULAUAN RIAU,May-09,102
LAMPUNG,May-09,67
MALUKU,May-09,0
MALUKU UTARA,May-09,48
NUSA TENGGARA BARAT,May-09,62
NUSA TENGGARA TIMUR,May-09,18
PAPUA,May-09,32
PAPUA BARAT,May-09,0
RIAU,May-09,110
SULAWESI BARAT,May-09,8
SULAWESI SELATA,May-09,223
SULAWESI TENGAH,May-09,74
SULAWESI TENGGARA,May-09,67
SULAWESI UTARA,May-09,118
SUMATERA BARAT,May-09,256
SUMATERA SELATA,May-09,119
SUMATERA UTARA,May-09,399
,,
ACEH,Apr-09,101
BABEL,Apr-09,19
BALI,Apr-09,862
BANTEN,Apr-09,591
BENGKULU,Apr-09,31
D.I YOGYA,Apr-09,225
DKI JAKARTA,Apr-09,"4,269"
GORONTALO,Apr-09,5
JAMBI,Apr-09,18
JAWA BARAT,Apr-09,"4,604"
JAWA TENGAH,Apr-09,"1,738"
JAWA TIMUR,Apr-09,"1,868"
