Region,Date,Cases
SULAWESI SELATA,May-14,267
SULAWESI TENGAH,May-14,89
SULAWESI TENGGARA,May-14,88
SULAWESI UTARA,May-14,86
SUMATERA BARAT,May-14,165
SUMATERA SELATA,May-14,111
SUMATERA UTARA,May-14,292
,,
ACEH,Apr-14,95
BABEL,Apr-14,19
BALI,Apr-14,"1,065"
BANTEN,Apr-14,355
BENGKULU,Apr-14,22
D.I YOGYA,Apr-14,215
DKI JAKARTA,Apr-14,"1,417"
GORONTALO,Apr-14,37
JAMBI,Apr-14,32
JAWA BARAT,Apr-14,"1,891"
JAWA TENGAH,Apr-14,"1,126"
JAWA TIMUR,Apr-14,837
KALIMANTAN BARAT,Apr-14,212
KALIMANTAN SELATA,Apr-14,27
KALIMANTAN TENGAH,Apr-14,57
KALIMANTAN TIMUR,Apr-14,312
KALIMANTAN UTARA,Apr-14,62
KEPULAUAN RIAU,Apr-14,33
LAMPUNG,Apr-14,52
MALUKU,Apr-14,1
MALUKU UTARA,Apr-14,5
NUSA TENGGARA BARAT,Apr-14,59
NUSA TENGGARA TIMUR,Apr-14,0
PAPUA,Apr-14,18
PAPUA BARAT,Apr-14,2
RIAU,Apr-14,43
SULAWESI BARAT,Apr-14,17
SULAWESI SELATA,Apr-14,237
SULAWESI TENGAH,Apr-14,109
SULAWESI TENGGARA,Apr-14,74
SULAWESI UTARA,Apr-14,142
SUMATERA BARAT,Apr-14,158
SUMATERA SELATA,Apr-14,105
SUMATERA UTARA,Apr-14,252
,,
ACEH,Mar-14,92
BABEL,Mar-14,15
BALI,Mar-14,957
BANTEN,Mar-14,298
BENGKULU,Mar-14,27
D.I YOGYA,Mar-14,193
DKI JAKARTA,Mar-14,"1,476"
GORONTALO,Mar-14,27
JAMBI,Mar-14,28
JAWA BARAT,Mar-14,"1,811"
JAWA TENGAH,Mar-14,738
JAWA TIMUR,Mar-14,881
KALIMANTAN BARAT,Mar-14,103
KALIMANTAN SELATA,Mar-14,45
KALIMANTAN TENGAH,Mar-14,57
KALIMANTAN TIMUR,Mar-14,343
KALIMANTAN UTARA,Mar-14,37
KEPULAUAN RIAU,Mar-14,39
LAMPUNG,Mar-14,88
MALUKU,Mar-14,2
MALUKU UTARA,Mar-14,12
NUSA TENGGARA BARAT,Mar-14,127
NUSA TENGGARA TIMUR,Mar-14,3
PAPUA,Mar-14,48
